Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	R:\K\Kutichim\211221\62_Slot1-54_1_2674.d	R:\K\Kutichim\211221\62_Slot1-54_1_2714.d	R:\K\Kutichim\211221\63_Slot1-42_1_2676.d	R:\K\Kutichim\211221\63_Slot1-42_1_2716.d	R:\K\Kutichim\211221\64_Slot1-38_1_2678.d	R:\K\Kutichim\211221\64_Slot1-38_1_2718.d	R:\K\Kutichim\211221\65_Slot1-49_1_2680.d	R:\K\Kutichim\211221\65_Slot1-49_1_2720.d	R:\K\Kutichim\211221\66_Slot1-44_1_2682.d	R:\K\Kutichim\211221\66_Slot1-44_1_2722.d	R:\K\Kutichim\211221\67_Slot1-40_1_2684.d	R:\K\Kutichim\211221\67_Slot1-40_1_2724.d	R:\K\Kutichim\211221\68_Slot1-27_1_2686.d	R:\K\Kutichim\211221\68_Slot1-27_1_2726.d	R:\K\Kutichim\211221\69_Slot1-52_1_2688.d	R:\K\Kutichim\211221\69_Slot1-52_1_2728.d	R:\K\Kutichim\211221\70_Slot1-43_1_2690.d	R:\K\Kutichim\211221\70_Slot1-43_1_2730.d	R:\K\Kutichim\211221\71_Slot1-46_1_2692.d	R:\K\Kutichim\211221\71_Slot1-46_1_2732.d	R:\K\Kutichim\211221\72_Slot1-22_1_2694.d	R:\K\Kutichim\211221\72_Slot1-22_1_2734.d	R:\K\Kutichim\211221\73_Slot1-53_1_2696.d	R:\K\Kutichim\211221\73_Slot1-53_1_2736.d	R:\K\Kutichim\211221\74_Slot1-41_1_2698.d	R:\K\Kutichim\211221\74_Slot1-41_1_2738.d	R:\K\Kutichim\211221\75_Slot1-48_1_2700.d	R:\K\Kutichim\211221\75_Slot1-48_1_2740.d	R:\K\Kutichim\211221\76_Slot1-47_1_2702.d	R:\K\Kutichim\211221\76_Slot1-47_1_2742.d	R:\K\Kutichim\211221\77_Slot1-51_1_2704.d	R:\K\Kutichim\211221\77_Slot1-51_1_2744.d	R:\K\Kutichim\211221\78_Slot1-45_1_2706.d	R:\K\Kutichim\211221\78_Slot1-45_1_2746.d	R:\K\Kutichim\211221\79_Slot1-50_1_2708.d	R:\K\Kutichim\211221\79_Slot1-50_1_2748.d	R:\K\Kutichim\211221\80_Slot1-39_1_2710.d	R:\K\Kutichim\211221\80_Slot1-39_1_2750.d	R:\K\Kutichim\211221\81_Slot1-23_1_2712.d	R:\K\Kutichim\211221\81_Slot1-23_1_2752.d
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8	KV311_HUMAN;KVD11_HUMAN	IGKV3-11;IGKV3D-11	Immunoglobulin kappa variable 3D-11	22483.5	66491.8	3010.16	9306.42			6436.78	10737.5	5886.91	4985.22	3298.01		1340.1	5596.99	3581.01	3576.61	3626.31	3216.05	6904.81	15397.5			7292.81	3524.92		13911.3	2369.31		2926	5772.13	4356.68	4893.65	3635.85	6030.93	4362.03	41393.7	3684.47	2021.82	4457.27	
A0A0A0MS15	A0A0A0MS15	HV349_HUMAN	IGHV3-49	Immunoglobulin heavy variable 3-49	12532.5	23001.9	10640.3	8223.03		1348.06		2900.09	3086.07	840.136			5837.25	7138.02		5092.34	6805.64	1161.85	18247.6	31180.4									9480.78	17534.5		1122.09	2074.1	2097.58	5864.38	6498.39	22291.2	7550.54	9874.71	
A0A0A0MS15;A0A0B4J1V0;A0A0B4J1V6;A0A0B4J1Y9	A0A0B4J1V0;A0A0A0MS15;A0A0B4J1Y9;A0A0B4J1V6	HV315_HUMAN;HV349_HUMAN;HV372_HUMAN;HV373_HUMAN	IGHV3-15;IGHV3-49;IGHV3-72;IGHV3-73	Immunoglobulin heavy variable 3-49	2015.99	2825.26	5292.11	5874.48	1510.29	1916.33	2018.42	1600.62	1256.87	914.975	1180.74	1299.98	2696.58	2142.02	1827.58	1937.08		952.898	5001.9	4197.82	1035.03	929.723	2874.28	2492.8			833.952	1022.59	1862.09	1247.16	2552.31	1489.15	1308.97		1492.94		4880.89	839.828	999.712	622.685
A0A0A0MS15;A0A0B4J1V6	A0A0A0MS15;A0A0B4J1V6	HV349_HUMAN;HV373_HUMAN	IGHV3-49;IGHV3-73	Immunoglobulin heavy variable 3-49	11296	8293.52	13272.1	15007.5					8289.44	7011.06		2975.72	4451.1		12019.3	13283.1	4625.91	2776.06	34145.3	70846.4	1762.22			2343.74			2254.57	3790.27			11293.2	10452	4723.54		11882.6	26447.5		4936.45	6911.2	
A0A0A0MT36;A0A0C4DH26	A0A0C4DH26;A0A0A0MT36	KVD21_HUMAN;KVD41_HUMAN	IGKV6D-21;IGKV6D-41	Immunoglobulin kappa variable 6D-21	9367.21	8231.36	2630.09	6655.07					2423.12	2944.85	2171.53	1685.86	2162.32	2910.32	1899.46	2758.43			9181.85	14489.2	3535.93	3510.6	3141.55	6097.52		7736.82					4361.55	5227.74	3924.62	4410.16	11549.7	15062.7	3764.04	5442.02	4360.97	3069.19
A0A0B4J1U3	A0A0B4J1U3	LV136_HUMAN	IGLV1-36	Immunoglobulin lambda variable 1-36	3629.13	1548.72	3993.44	6128.92						1892.14		3706.13	1068.11		2453.82	2688.3		615.251	2179.09	2018.11			636.838	907.72			726.76				3403.37	1680.8		1122.96	2962.03	2505.49		981.638	1687.65	1871.61
A0A0B4J1U7	A0A0B4J1U7	HV601_HUMAN	IGHV6-1	Immunoglobulin heavy variable 6-1	1960.26	1787.83	4252.62	2759.7								1479.22	3228.93	2529.45	2229.92	1522.88			2743.97	4216.94	1310.42		1888.22	1844.64						793.81	1084.86				1627.67	1552.07	2079.32	2105.81		2292.39
A0A0B4J1V0	A0A0B4J1V0	HV315_HUMAN	IGHV3-15	Immunoglobulin heavy variable 3-15	5154.99	3900.17	3564.7	4030.55					1158.16	1395.55	1013.19	2079.26	1771.78	2562.87	3202.39	2963.25	945.947	1333.69	6095.07	4767	2002.17	1824.71	3232.14	3457.26			1483.97	1590.45		972.534	2593.29	5206.2	1221.6	1082.58	3452.41	4399.38	2004.42	2069.97	1464.86	1823.94
A0A0B4J1V2	A0A0B4J1V2	HV226_HUMAN	IGHV2-26	Immunoglobulin heavy variable 2-26	4554.27	482.249	4508.9	1635.75					713.649	596.015		1225.3	1069.96	1119.71	465.077	510.515	884.958	798.372	2790.04	2886.35	942.381	909.3	786.296	1059.38							1467.14				1301.83	998.422	622.011	685.86	677.022	1248.94
A0A0B4J1V6	A0A0B4J1V6	HV373_HUMAN	IGHV3-73	Immunoglobulin heavy variable 3-73		2339.44		3112.71					1372.76			1121.24		2274.72					3150.35	2819.6													1353.51							
A0A0B4J1X5	A0A0B4J1X5	HV374_HUMAN	IGHV3-74	Immunoglobulin heavy variable 3-74	580.213	916.559	903.259	1447.02				6517.73			341.023	499.5		1121.69	669.043	814.479	462.679	169.455	1318.87	1403.04		453.176	655.934	613.518						315.488	1232.45	1509.16	117.226		1004.4	1334.16	1254.33	1062.16	748.021	1073.4
A0A0B4J1X5;P01764	P01764;P01768;P01772;P01767;A0A0C4DH42;A0A0B4J1X5;P0DP02;P0DP03	HV323_HUMAN;HV374_HUMAN	IGHV3-23;IGHV3-74	Immunoglobulin heavy variable 3-74	103438	86149.2	42525.7	93030.3	2383.47	4562.54	7705.2	6286.79	7337.96	17056.8	5853.78	9711.08	27864.5	17167.3	35744.8	34601.1	9819.01	8705.21	33153.2	53808.1	3421.68	3780.19	13225.9	16142.1			10033.5	13049.3	7380.05	8277.87	43284	18624.3	8514.34	5210.8	19963.7	10813.2	22104	26507.8	19385.5	21244
A0A0B4J1X5;P01780	P01780;P01782;P01762;A0A0C4DH32;A0A0B4J1V1;P01763;A0A0B4J1X5	HV307_HUMAN;HV374_HUMAN	IGHV3-7;IGHV3-74	Immunoglobulin heavy variable 3-74					723.376	822.3	6184.63	6127.19								660.346			479.849																507.869		706.875			
A0A0B4J1X5;P01780;P0DOX2	P01780;P01762;A0A0B4J1V1;P01772;P01763;P01767;A0A0C4DH42;A0A0B4J1X5;P0DOX2;P0DP02;A0A0J9YVY3	HV307_HUMAN;HV374_HUMAN;IGA2_HUMAN	IGHV3-7;IGHV3-74	Immunoglobulin heavy variable 3-74	85783.8	87449.2	102771	125041	1165.24	3223.83		5591.16	48899.6	31304.9	91220.5	38526.2	73945	254286	110518	106545	19872.3		480385	198341	14235.7	5053.92	14117.4	7869.05			17440.1	7139.35	8553.42	23390.6	43193.1	121458	27097.8	9525.21	102416	259266	14653	16696.9	32038.1	29540.2
A0A0B4J1X8	A0A0B4J1X8	HV343_HUMAN	IGHV3-43	Immunoglobulin heavy variable 3-43	3472.39														5626.48				11479.4	13645.5															3993.01	10837.6				
A0A0B4J1X8;A0A0C4DH36;A0A0J9YX35;P01764;P0DTE1	P01764;P01768;P01772;A0A0C4DH36;A0A0B4J1X8;P01767;A0A075B6Q5;A0A0C4DH42;P0DTE1;P0DP04;A0A0J9YX35;P0DP02;P0DP03	HV323_HUMAN;HV338_HUMAN;HV343_HUMAN;HV383_HUMAN;HV64D_HUMAN	IGHV3-23;IGHV3-38;IGHV3-38-3;IGHV3-43;IGHV3-64D	Immunoglobulin heavy variable 3-43							954.179	2431.77																																
A0A0B4J1X8;P01766;P01780	P01780;P01782;P01762;P01766;A0A0C4DH32;A0A0B4J1V1;A0A0B4J1X8;P01763;P0DP04	HV307_HUMAN;HV313_HUMAN;HV343_HUMAN	IGHV3-13;IGHV3-43;IGHV3-7	Immunoglobulin heavy variable 3-43	36246.6	35782.5	8679.77	18565.8					5291.73	7924.94	6827.62	6114.15	5857.91	8084.99	19277	16173.4	5318.25	4907.44	24615.2	33475.1	3519.72	5085.04	5531.15	9235.5			6461.87	11231.2	4427.9	3869.48	17851.5	15576.9	3961.54	3557.66	8066.45	8600	10954.7	12377.7	7035	11641.5
A0A0B4J2D5;P0DPI2	P0DPI2;A0A0B4J2D5	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	2658.51	826.951	1518.03	3228.72		1305.83			2992.91	2156.2	2879.63	2525.1	2035.03	1651.37	1734.02	1484.63	1684.42	1386.64	1626.85	1346.79	2368.91	2427.43	2910.95	1878.57	11965		2860.61	2389.74	2780.73	1992.42	1055.97	1485.25	1945.44	1590.41	1106.11	2098.27	973.019	1748.75	935.785	1568.41
A0A0C4DH24	A0A0C4DH24	KV621_HUMAN	IGKV6-21	Immunoglobulin kappa variable 6-21	2781.53			3394.78							987.845		2943.01		2128.35	1998.46			3190.96	2234.3							2511.35	3157.76				1447.7					3895.46	5186.54	4628.23	2453.18
A0A0C4DH25	A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	Immunoglobulin kappa variable 3D-20	3921.58	16165.9		1242.3																																				
A0A0C4DH25;P01619	A0A0C4DH25;P01619	KV320_HUMAN;KVD20_HUMAN	IGKV3-20;IGKV3D-20	Immunoglobulin kappa variable 3D-20	39872.4	22192.7	32609.3	32631	3241.4	4725.6	1000.39	1510.47	7842.3	9480.74	7771.77	12169.5	9912.7	21235.6	20929.1	21116.9	8613.4	11620.8	56151.9	50363	4057.51	2078.98	9615.06	6150.93	5107.2	2910.9	3537.25		4260.93	3351.93	25268.4	16603	8411.35	4395.25	42481.6	17591	11079		13992.6	6239.6
A0A0C4DH29	A0A0C4DH29	HV103_HUMAN	IGHV1-3	Immunoglobulin heavy variable 1-3	1825.65		2097.1													1733.16			2265.89	1987.64																				
A0A0C4DH29;P01742;P01743	A0A0C4DH29;A0A0B4J2H0;P01743;P0DP01;P01742	HV103_HUMAN;HV146_HUMAN;HV169_HUMAN	IGHV1-3;IGHV1-46;IGHV1-69	Immunoglobulin heavy variable 1-3	77220.4						4209.66	5312.96			90748.6	42155					19579.5	25218		12353.5				10319.1					8762.12			108928	26134.4	13106.1				18417.1		
A0A0C4DH31	A0A0C4DH31	HV118_HUMAN	IGHV1-18	Immunoglobulin heavy variable 1-18	1810.85	1670.2	1127.02	2641.49	530.286		680.666		1028.17		518.157		1138.77	2177.31	791.67	1594.13	583.636	1024.09	3466.34	5410.02		494.606	1060.73	501.441			774.469			1026.16	2081.75				618.682	917.816	976.766			
A0A0C4DH31;P23083	P23083;A0A0C4DH31	HV102_HUMAN;HV118_HUMAN	IGHV1-18;IGHV1-2	Immunoglobulin heavy variable 1-18			119275	143898	1385.12	3724.77	5481.98			36074					123754	118079				230706	16572.4	5767.4	16600.1		10598.2	14823.1	19022.1	9143.02		27677.7					108758		18600.6	23257.5		
A0A0C4DH33	A0A0C4DH33	HV124_HUMAN	IGHV1-24	Immunoglobulin heavy variable 1-24								3041.7								1261.09				3020.73	2736.45		2858.6				2750.99	1740.81									1441.88			
A0A0C4DH34	A0A0C4DH34	HV428_HUMAN	IGHV4-28	Immunoglobulin heavy variable 4-28	542.434		1364	623.429	507.863				562.044		1015.96	1329.77	1811.91	776.849	540.054	634.147	318.088		1427.29	1133.67			591.316								940.802	1040.89			834.351	546.036	830.463			879.334
A0A0C4DH35	A0A0C4DH35	HV335_HUMAN	IGHV3-35	Probable non-functional immunoglobulin heavy variable 3-35	9911.53	8510.1	4879.32	8393.97					3551	4126.05	3693.51	5087.23	7243.89	6888.81	16142.2	13562.5	4636.46	2149.72	26703.6	42359.1								3339.62			6854.07	7286.95		4360.86	10057.7	26698.8			2722.98	6005.69
A0A0C4DH36	A0A0C4DH36	HV338_HUMAN	IGHV3-38	Probable non-functional immunoglobulin heavy variable 3-38	21008.9	17281.1	15823.7	20494.7					10317	12561.2	12962.6	24857	14753.6	25748	23088.8	20841.8	8523.08	6780.83	35665.7	47827.3	5631.67		2333.45								24152	24387.4	9527.34	7161.46	19940.8	35601.9	10949.4	7916.9		12209.2
A0A0C4DH38	A0A0C4DH38	HV551_HUMAN	IGHV5-51	Immunoglobulin heavy variable 5-51	23235.7	18929.9	19974.8	35877.8		3469.18	1309.72	2538.84	7441.67	10485.9	5283.04	13009.8	9602.56	17185.3	18729.3	16349.9	5908.87	5291.13	50070.6	39579.8	4178.08	1999.68	5926.07	6551.41			5743.71		3383.38	4699.65	11065.1	10692.3	3565.86	2624.72	16231.5	12423.3	14562.5	6454.02	10172.2	7452.94
A0A0C4DH38;A0A0J9YXX1	A0A0J9YXX1;A0A0C4DH38	HV551_HUMAN;HV5X1_HUMAN	IGHV5-10-1;IGHV5-51	Immunoglobulin heavy variable 5-51	12991.7	12007	7356.31	19642.5	1972.54	1707.49			4014.9	3710.13	4323.87	2506.42	7873.25	8890.09	9992.07	8279.55	3080.52	1162.52	28696.5	19756.7	3400.66	1362.09	1249.56	3395.09			1440.64	4469.07	3490.26	2647.29	5830.12	11887.2	2973.02	1905.98	9364.26	12071.2	5347.33	4541.31	4184.82	4170.65
A0A0C4DH67	A0A0C4DH67	KV108_HUMAN	IGKV1-8	Immunoglobulin kappa variable 1-8	2813.09	2253.52	3057.52	4515.5	652.508	1099.76	7785.26	5818.16	988.425	842.025	1089.02	1259.24	7169.93	5602.09	2597.71	3305.67	1080.51	1191.61	5883.02	6894.12	605.07	882.211	1590	2785.38			601.12	1094.11		1750.18	2620.46	2033.01		1100.91	1231.56	2409.95	1364.44	1464.48	2153.7	1620.68
A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432	P01597;P01611;P04432;A0A0C4DH73;A0A0C4DH72	KV106_HUMAN;KV112_HUMAN;KV139_HUMAN;KVD12_HUMAN;KVD39_HUMAN	IGKV1-12;IGKV1-39;IGKV1-6;IGKV1D-12;IGKV1D-39	Immunoglobulin kappa variable 1-6	43192.4	9625.16	14889.1	25131.2		4300.51	13599.7	11612.3	5389.09	1951.34	7304.28		10285.7	14953.8	9882.87	15023.3	5972.99		70214.4	65674.8	2009.39	658.024	10479.5	2440.92					7723.08	6647.22	4338.38	3258.08	1093.75	1217.87	11679.5	7487.74	8441.46	3193.49	6212.83	
A0A0C4DH73;P01611	P01611;A0A0C4DH73	KV112_HUMAN;KVD12_HUMAN	IGKV1-12;IGKV1D-12	Immunoglobulin kappa variable 1-12	2621.99		3999.51						1580.56			577.487	4080.67	2387.05	1624.94		551.265		9884.1	7695.63			1403.3									1518.52	578.828	1232.19	1181.76	3779	1001.65	1734.42	1497.59	1870.83
A0A0J9YX35	A0A0J9YX35	HV64D_HUMAN	IGHV3-64D	Immunoglobulin heavy variable 3-64D	7124.81	7463.92	5077.49	6075.64					1581.18	1811.06		1099.05			2651.28				5145.77	6265.83				2163.96				1853.54	2807		3176.87	3378.81	2965.58		3017.01	5500.11	2527.82	3710.12		
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	2895.44	899.101	3911.6	2003.15	3525.6	2151.96	2573.92	907.096	4083.32	4162.36	4602.06	5487.12	3701.5	4205.64	3827.12	4280.02	2634.42	2313.18	2874.6	2995.58	4589.43	4872.02	3748.66	3634.98			4020.67	4514.03	1708.49	5759.84	3317.95	3705.29	2582	3945.77	2827.2	4297.51	1559.17	2441.59	2051.05	2902.61
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	2505.81	3610.67		1445.15	2362.8	2783.49			2647.09	3014.56	1089.61	1312.28	2068.06	2173.18	1464.13	1518.15	1770.5	1584.04			2850.83	2542.31	2116.43	2326.65		4073.05	3235.09	2809.22	3416.52	3742.59	2077.69	1302.47	3307.62	4266.09	2652.73	2795.21	2217.01	1951.4		
A0M8Q6	A0M8Q6	IGLC7_HUMAN	IGLC7	Immunoglobulin lambda constant 7			606.824		1214.38	1087.23	1318.28			1080.41	3076.73	4712.44	4973.74	6806.51		2427.96		701.539	4021.26	3533.73	2640.15	8612.54	3748.84	4388.09					594.059	796.078	1782.94	623.11			2861.15	395.026	1489.03		3243.18	3079.01
A0M8Q6;P0CF74;P0DOX8;P0DOY3	P0DOX8;B9A064;P0CG04;P0DOY2;P0DOY3;P0CF74;A0M8Q6	IGL1_HUMAN;IGLC3_HUMAN;IGLC6_HUMAN;IGLC7_HUMAN	IGLC3;IGLC6;IGLC7	Immunoglobulin lambda constant 7	270736	325201	221933	504514	24661.1	29702.6	48112	180016	107483	92450.8	93415.6	194536	196230	288250	282780	200409	108183	49539.3	439902	348363	27543.6	44275.3	68190.3	45613.4	141035	219485	41294.4	5718.07	205550	108846	146705	188350	75448.8	75538.4	226220	224102	209953	218428	50070.2	85084.9
A0M8Q6;P0CF74;P0DOY3	P0DOY2;P0DOY3;P0CF74;A0M8Q6	IGLC3_HUMAN;IGLC6_HUMAN;IGLC7_HUMAN	IGLC3;IGLC6;IGLC7	Immunoglobulin lambda constant 7	124598	171128	115209	218672	10866.6	16890.7	24036.8	36037.4	39738.4	57286	86163.3	77602.7	103461	82905.1	68168.3	86581	31217.1	33764.9	171204	377526	17386.9	18355.1	47389.5	44541.8	25288.8	28605.1	17002.4	12676.4	46852.7	25698.5	81899.4	56986.5	38507.5	15531.3	99268.9	31180.3	68441.9	22467.7	65835.1	9471.19
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1			968.138	225.858		178.648			304.791	284.657	394.398	609.282			405.884	580.2			278.113		93.9891	272.276					156.948				476.013	774.066	453.086		327.442	334.43	300.755			
A1A4V9	A1A4V9	CC189_HUMAN	CCDC189	Coiled-coil domain-containing protein 189						2309.11			1735.12			2249.73	2228.77	2974.52		1888.7	2779.08	3589.59				2646.5		2966.57	2989.34			3676.89						2253.04						2543.77
